Participant,Time to Receive
Participant2,587
Participant3,614
Participant4,615
Participant5,734
Participant2,27
Participant3,104
Participant4,70
Participant5,698
Participant2,77
Participant3,75
Participant4,35
Participant5,216
Participant2,122
Participant3,54
Participant4,70
Participant5,73
Participant2,68
Participant3,62
Participant4,34
Participant5,111
Participant2,491
Participant3,730
Participant4,81
Participant5,178
Participant2,106
Participant3,254
Participant4,106
Participant5,122
Participant2,51
Participant3,110
Participant4,99
Participant5,317
Participant2,110
Participant3,46
Participant4,87
Participant5,61
Participant2,413
Participant3,57
Participant4,79
Participant5,44
Participant2,202
Participant3,124
Participant4,64
Participant5,195
