Participant,Time to Receive
Participant2,625
Participant3,667
Participant4,631
Participant5,654
Participant2,18
Participant3,28
Participant4,44
Participant5,59
Participant2,13
Participant3,27
Participant4,28
Participant5,56
Participant2,12
Participant3,48
Participant4,36
Participant5,47
Participant2,10
Participant3,21
Participant4,109
Participant5,43
Participant2,11
Participant3,21
Participant4,28
Participant5,41
Participant2,16
Participant3,18
Participant4,30
Participant5,34
Participant2,20
Participant3,20
Participant4,66
Participant5,38
Participant2,12
Participant3,17
Participant4,28
Participant5,108
Participant2,11
Participant3,13
Participant4,31
Participant5,36
Participant2,12
Participant3,15
Participant4,23
Participant5,48
