Participant,Time to Receive
Participant2,850
Participant3,515
Participant4,561
Participant5,684
Participant2,15
Participant3,61
Participant4,42
Participant5,40
Participant2,11
Participant3,38
Participant4,28
Participant5,163
Participant2,14
Participant3,18
Participant4,29
Participant5,684
Participant2,114
Participant3,18
Participant4,25381
Participant5,40
Participant2,15
Participant3,16
Participant4,1133
Participant5,41
Participant2,40
Participant3,42
Participant4,376
Participant5,54
Participant2,12
Participant3,23
Participant4,23
Participant5,38
Participant2,368
Participant3,25
Participant4,27
Participant5,470
Participant2,34
Participant3,1567
Participant4,23
Participant5,36
Participant2,9
Participant3,16
Participant4,26
Participant5,189
