Participant,Time to Receive
Participant2,903
Participant3,3193
Participant4,1041
Participant5,521
Participant2,18
Participant3,60
Participant4,3124
Participant5,2953
Participant2,2136
Participant3,12789
Participant4,4189
Participant5,40
Participant2,21
Participant3,14
Participant4,27
Participant5,793
Participant2,1569
Participant3,210
Participant4,14232
Participant5,42
Participant2,122
Participant3,26
Participant4,308
Participant5,73
Participant2,64
Participant3,1124
Participant4,23
Participant5,37
Participant2,2573
Participant3,431
Participant4,31
Participant5,41
Participant2,149
Participant3,289
Participant4,29
Participant5,30
Participant2,27
Participant3,93
Participant4,21
Participant5,86
Participant2,412
Participant3,12
Participant4,49
Participant5,36
