Participant,Time to Receive
Participant2,833
Participant3,824
Participant4,517
Participant5,736
Participant2,264
Participant3,37
Participant4,41
Participant5,154
Participant2,1069
Participant3,16
Participant4,833
Participant5,1960
Participant2,49
Participant3,356
Participant4,593
Participant5,67
Participant2,24
Participant3,188
Participant4,77
Participant5,259
Participant2,469
Participant3,107
Participant4,27
Participant5,189
Participant2,1774
Participant3,62
Participant4,1286
Participant5,911
Participant2,53
Participant3,219
Participant4,76
Participant5,124
Participant2,46
Participant3,131
Participant4,156
Participant5,103
Participant2,97
Participant3,807
Participant4,711
Participant5,79
Participant2,477
Participant3,16
Participant4,329
Participant5,439
