Participant,Time to Receive
Participant2,617
Participant3,644
Participant4,595
Participant5,9483
Participant2,21
Participant3,77
Participant4,45
Participant5,44
Participant2,11
Participant3,43
Participant4,32
Participant5,35
Participant2,4993
Participant3,125
Participant4,465
Participant5,44
Participant2,12
Participant3,17
Participant4,45
Participant5,73
Participant2,21
Participant3,213
Participant4,66
Participant5,2095
Participant2,15038
Participant3,50
Participant4,39
Participant5,380
Participant2,92
Participant3,17
Participant4,30
Participant5,49
Participant2,80
Participant3,71
Participant4,22517
Participant5,1052
Participant2,17060
Participant3,335390
Participant4,309
Participant5,31
Participant2,17
Participant3,20
Participant4,20
Participant5,84
