Participant,Time to Receive
Participant2,2259
Participant3,737
Participant4,882
Participant5,520
Participant2,278
Participant3,2678
Participant4,76
Participant5,52
Participant2,15
Participant3,5044
Participant4,994
Participant5,49
Participant2,2538
Participant3,16
Participant4,26
Participant5,827
Participant2,93873
Participant3,7547
Participant4,126
Participant5,435783
Participant2,12
Participant3,71
Participant4,376
Participant5,37
Participant2,65752
Participant3,730
Participant4,37
Participant5,37
Participant2,85
Participant3,14
Participant4,144635
Participant5,4331
Participant2,13
Participant3,8923
Participant4,22
Participant5,66
Participant2,93
Participant3,104
Participant4,34
Participant5,17026
Participant2,77
Participant3,31
Participant4,21
Participant5,47
