Participant,Time to Receive
Participant2,554
Participant3,537
Participant4,531
Participant5,801
Participant2,34
Participant3,458
Participant4,79
Participant5,62
Participant2,23
Participant3,44
Participant4,30
Participant5,48
Participant2,201
Participant3,53
Participant4,26
Participant5,114
Participant2,14
Participant3,16
Participant4,29
Participant5,38
Participant2,13
Participant3,2306
Participant4,46
Participant5,40
Participant2,11
Participant3,380
Participant4,175
Participant5,438
Participant2,12
Participant3,18
Participant4,37
Participant5,52
Participant2,13
Participant3,27
Participant4,31
Participant5,37
Participant2,11
Participant3,68
Participant4,124
Participant5,38
Participant2,12
Participant3,18
Participant4,28
Participant5,588
