Participant,Time to Receive
Participant2,569
Participant3,540
Participant4,569
Participant5,545
Participant2,42
Participant3,28
Participant4,52
Participant5,87
Participant2,33
Participant3,20
Participant4,43
Participant5,60
Participant2,41
Participant3,32
Participant4,59
Participant5,54
Participant2,29
Participant3,28
Participant4,89
Participant5,79
Participant2,28
Participant3,28
Participant4,82
Participant5,43
Participant2,18
Participant3,102
Participant4,71
Participant5,43
Participant2,25
Participant3,20
Participant4,42
Participant5,44
Participant2,28
Participant3,49
Participant4,37
Participant5,43
Participant2,38
Participant3,35
Participant4,34
Participant5,44
Participant2,35
Participant3,21
Participant4,31
Participant5,38
