Participant,Time to Receive
Participant2,518
Participant3,513
Participant4,570
Participant5,579
Participant2,15
Participant3,962
Participant4,41
Participant5,57
Participant2,12
Participant3,16
Participant4,658
Participant5,914
Participant2,10
Participant3,15
Participant4,4792
Participant5,41
Participant2,10
Participant3,108
Participant4,127
Participant5,39
Participant2,264
Participant3,14
Participant4,24
Participant5,32
Participant2,9
Participant3,24
Participant4,22
Participant5,37
Participant2,13
Participant3,37
Participant4,22
Participant5,36
Participant2,52
Participant3,165
Participant4,22
Participant5,30
Participant2,9
Participant3,81
Participant4,263
Participant5,34
Participant2,9
Participant3,125
Participant4,22
Participant5,188
