Participant,Time to Receive
Participant2,540
Participant3,594
Participant4,1002
Participant5,635
Participant2,59
Participant3,25
Participant4,63
Participant5,1379
Participant2,1329
Participant3,3717
Participant4,284
Participant5,39
Participant2,3748
Participant3,59370
Participant4,124
Participant5,36
Participant2,74
Participant3,100
Participant4,33
Participant5,955
Participant2,41
Participant3,16
Participant4,117
Participant5,287
Participant2,561
Participant3,14
Participant4,108
Participant5,48
Participant2,118
Participant3,40
Participant4,504
Participant5,32
Participant2,9
Participant3,15
Participant4,23
Participant5,30
Participant2,14710
Participant3,14
Participant4,37
Participant5,33
Participant2,50
Participant3,14
Participant4,799
Participant5,52
