Participant,Time to Receive
Participant2,652
Participant3,614
Participant4,689
Participant5,1501
Participant2,25
Participant3,265
Participant4,41
Participant5,54
Participant2,41
Participant3,26
Participant4,249
Participant5,49
Participant2,31
Participant3,118
Participant4,67
Participant5,40
Participant2,11
Participant3,17
Participant4,37
Participant5,330
Participant2,21
Participant3,21
Participant4,35
Participant5,937
Participant2,75
Participant3,34
Participant4,34
Participant5,38
Participant2,42
Participant3,83
Participant4,34
Participant5,42
Participant2,45
Participant3,105
Participant4,61
Participant5,312
Participant2,215
Participant3,148
Participant4,330
Participant5,41
Participant2,36
Participant3,58
Participant4,27
Participant5,413
