Participant,Time to Receive
Participant2,555
Participant3,516
Participant4,735
Participant5,571
Participant2,31
Participant3,271
Participant4,34
Participant5,62
Participant2,34
Participant3,19
Participant4,29
Participant5,37
Participant2,13
Participant3,63
Participant4,50
Participant5,34
Participant2,10
Participant3,27
Participant4,25
Participant5,310
Participant2,10
Participant3,559
Participant4,59
Participant5,46
Participant2,667
Participant3,14
Participant4,234
Participant5,53
Participant2,10
Participant3,24
Participant4,54
Participant5,2275
Participant2,17
Participant3,15
Participant4,24
Participant5,1974
Participant2,9
Participant3,218
Participant4,1086
Participant5,53
Participant2,30319
Participant3,73
Participant4,21
Participant5,40
