Participant,Time to Receive
Participant2,529
Participant3,1347
Participant4,559
Participant5,736
Participant2,24
Participant3,39
Participant4,881
Participant5,49
Participant2,40
Participant3,44
Participant4,353
Participant5,4407
Participant2,11
Participant3,30
Participant4,30
Participant5,48
Participant2,11
Participant3,282
Participant4,21
Participant5,49
Participant2,14
Participant3,242
Participant4,27
Participant5,9271
Participant2,11
Participant3,309
Participant4,358
Participant5,193
Participant2,7806
Participant3,33
Participant4,155
Participant5,35
Participant2,12
Participant3,9028
Participant4,72783
Participant5,454
Participant2,30
Participant3,23
Participant4,171
Participant5,41
Participant2,3459
Participant3,600
Participant4,45
Participant5,38
