Participant,Time to Receive
Participant2,1491
Participant3,549
Participant4,510
Participant5,691
Participant2,16
Participant3,21
Participant4,1682
Participant5,308
Participant2,285
Participant3,1341
Participant4,10592
Participant5,1114
Participant2,38197
Participant3,1038
Participant4,19906
Participant5,2779
Participant2,293
Participant3,23
Participant4,4240
Participant5,40
Participant2,50
Participant3,21
Participant4,358
Participant5,404
Participant2,37
Participant3,2475
Participant4,111
Participant5,3535
Participant2,26
Participant3,1126
Participant4,267
Participant5,231543
Participant2,846
Participant3,45
Participant4,43
Participant5,529
Participant2,1130
Participant3,582
Participant4,1426
Participant5,137
Participant2,21
Participant3,291
Participant4,28
Participant5,231
