Participant,Time to Receive
Participant2,582
Participant3,609
Participant4,631
Participant5,548
Participant2,14
Participant3,22
Participant4,113
Participant5,837
Participant2,1798
Participant3,436
Participant4,27
Participant5,46
Participant2,9
Participant3,24
Participant4,545
Participant5,41
Participant2,17
Participant3,14
Participant4,2744
Participant5,1420
Participant2,11
Participant3,22
Participant4,24
Participant5,34
Participant2,9
Participant3,20
Participant4,49
Participant5,39
Participant2,19
Participant3,24
Participant4,34
Participant5,49
Participant2,55
Participant3,93
Participant4,25
Participant5,31
Participant2,18
Participant3,31
Participant4,967
Participant5,31
Participant2,8
Participant3,18
Participant4,126
Participant5,729
