Participant,Time to Receive
Participant2,580
Participant3,722
Participant4,536
Participant5,592
Participant2,216
Participant3,169
Participant4,186
Participant5,313
Participant2,69
Participant3,172
Participant4,828
Participant5,108
Participant2,1520
Participant3,422
Participant4,180
Participant5,318
Participant2,125
Participant3,90
Participant4,3351
Participant5,66
Participant2,319
Participant3,186
Participant4,117
Participant5,62
Participant2,322
Participant3,240
Participant4,117
Participant5,90
Participant2,54
Participant3,297
Participant4,39
Participant5,240
Participant2,173
Participant3,76
Participant4,106
Participant5,199
Participant2,50
Participant3,130
Participant4,376
Participant5,331
Participant2,354
Participant3,72
Participant4,218
Participant5,126
