Participant,Time to Receive
Participant2,556
Participant3,512
Participant4,584
Participant5,583
Participant2,22
Participant3,34
Participant4,54
Participant5,71
Participant2,43
Participant3,30
Participant4,53
Participant5,50
Participant2,20
Participant3,23
Participant4,36
Participant5,71
Participant2,15
Participant3,35
Participant4,36
Participant5,40
Participant2,10
Participant3,18
Participant4,39
Participant5,57
Participant2,15
Participant3,15
Participant4,43
Participant5,38
Participant2,17
Participant3,50
Participant4,32
Participant5,46
Participant2,29
Participant3,35
Participant4,25
Participant5,52
Participant2,17
Participant3,26
Participant4,28
Participant5,78
Participant2,11
Participant3,26
Participant4,28
Participant5,57
