Participant,Time to Receive
Participant2,606
Participant3,583
Participant4,558
Participant5,1107
Participant2,260
Participant3,50
Participant4,40
Participant5,47
Participant2,11
Participant3,20
Participant4,37
Participant5,47
Participant2,10
Participant3,93
Participant4,40
Participant5,65
Participant2,58
Participant3,15
Participant4,170
Participant5,43
Participant2,12
Participant3,22
Participant4,119
Participant5,59
Participant2,13
Participant3,14
Participant4,174
Participant5,35
Participant2,22
Participant3,12
Participant4,25
Participant5,40
Participant2,9
Participant3,14
Participant4,21
Participant5,34
Participant2,28
Participant3,19
Participant4,623
Participant5,30
Participant2,9
Participant3,15
Participant4,23
Participant5,34
